"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"166" 166 99834 62222 326 0.77232 42789 165 324 3 161 2 160 42815 7024 3 7023 42810 166 49999 49835
"167" 167 99833 35967 328 1.0074 62222 166 326 3 162 2 160 42816 7023 4 7021 42810 167 49999 49834
"168" 168 99832 5007 330 1.026 95794 151 298 3 163 2 161 42815 7023 4 7021 42809 168 49999 49833
"169" 169 99831 67686 332 1.0279 51329 154 304 3 164 2 162 42814 7023 4 7021 42808 169 49999 49832
"170" 170 99830 72131 334 0.93761 67686 169 332 3 165 2 163 42814 7022 4 7020 42808 170 49999 49831
"171" 171 99829 27996 336 0.95736 72131 170 334 3 166 2 164 42813 7022 4 7020 42807 171 49999 49830
"172" 172 99828 67687 336 0.97613 72131 170 334 4 166 2 164 42813 7022 4 7020 42806 172 49999 49829
"173" 173 99827 99987 338 1.0555 49501 148 292 4 167 2 164 42813 7022 5 7019 42805 173 49999 49828
"174" 174 99826 4122 340 0.6613 99987 173 338 4 168 2 165 42813 7021 5 7018 42805 174 49999 49827
"175" 175 99825 66318 340 0.77793 99987 173 338 5 168 2 165 42813 7021 5 7018 42804 175 49999 49826
"176" 176 99824 55697 342 0.91002 66318 175 340 5 168 3 166 42812 7021 5 7019 42802 176 49999 49825
"177" 177 99823 3225 344 1.0635 42699 135 266 5 169 3 167 42811 7021 5 7019 42801 177 49999 49824
"178" 178 99822 3612 346 0.64554 3225 177 344 5 170 3 168 42810 7021 5 7019 42800 178 49999 49823
"179" 179 99821 46904 348 1.1033 86275 133 262 5 171 3 169 42809 7021 5 7019 42799 179 49999 49822
"180" 180 99820 81406 350 0.529 46904 179 348 5 172 3 170 42808 7021 5 7019 42798 180 49999 49821
"181" 181 99819 67743 352 1.0405 81406 180 350 5 173 3 171 42807 7021 5 7019 42797 181 49999 49820
"182" 182 99818 46885 354 1.1147 81406 180 350 5 174 3 172 42805 7022 5 7020 42795 182 49999 49819
"183" 183 99817 71469 356 0.77428 46885 182 354 5 175 3 173 42805 7021 5 7019 42795 183 49999 49818
"184" 184 99816 40297 356 0.37957 71469 183 356 6 175 3 173 42804 7022 5 7020 42793 184 49999 49817
"185" 185 99815 18207 358 0.65473 71469 183 356 6 176 3 174 42804 7021 5 7019 42793 185 49999 49816
"186" 186 99814 59209 360 0.78351 18207 185 358 6 177 3 175 42804 7020 5 7018 42793 186 49999 49815
"187" 187 99813 26919 362 0.81999 18207 185 358 6 178 3 176 42803 7020 5 7018 42792 187 49999 49814
"188" 188 99812 11604 364 0.72328 26919 187 362 6 179 3 177 42803 7019 5 7017 42792 188 49999 49813
"189" 189 99811 40246 366 0.71422 11604 188 364 6 180 3 178 42803 7018 5 7016 42792 189 49999 49812
"190" 190 99810 18627 368 0.8144 26919 187 362 6 181 3 179 42802 7018 5 7016 42791 190 49999 49811
"191" 191 99809 29236 370 0.6128 18627 190 368 6 181 4 180 42803 7016 5 7015 42791 191 49999 49810
"192" 192 99808 16016 372 0.88537 18627 190 368 6 182 4 181 42802 7016 5 7015 42790 192 49999 49809
